Wilaya_Code,Wilaya_Name,Cultures_herbacées_ha,Cultures_herbacées_%,Terres_au_repos_ha,Terres_au_repos_%,Prairies_naturelles_ha,Prairies_naturelles_%,Vignes_ha,Vignes_%,Plantations_arbres_fruit_ha,Plantations_arbres_fruit_%,TOTAL_SAU_ha,TOTAL_SAU_%,Pacages_parcours_ha,Pacages_parcours_%,Terres_improductives_ha,Terres_improductives_%,TOTAL_SAT_ha,TOTAL_SAT_%
15,TIZI-OUZOU,26846,18.4,21066,14.4,1257,0.9,1275,0.9,48398,33.1,98842,67.7,25370,17.4,21859,15.0,146071,0.3
16,ALGER,12332,37.9,3486,10.7,0,0.0,2381,7.3,10670,32.8,28870,88.8,1471,4.5,2185,6.7,32526,0.1
17,DJELFA,60925,2.4,299682,12.0,0,0.0,43,0.0,18015,0.7,378665,15.1,2122428,84.9,0,0.0,2501093,5.7
18,JIJEL,8652,8.8,13721,14.0,4824,4.9,49,0.0,17172,17.5,44417,45.2,39360,40.0,14511,14.8,98288,0.2
19,SETIF,232311,50.5,94126,20.5,1958,0.4,26,0.0,36269,7.9,364689,79.3,53850,11.7,41084,8.9,459624,1.0
20,SAIDA,142563,27.9,157797,30.9,0,0.0,57,0.0,7790,1.5,308206,60.3,159664,31.2,43479,8.5,511349,1.2
21,SKIKDA,82697,42.8,25881,13.4,484,0.3,1168,0.6,21598,11.2,131829,68.3,42977,22.3,18217,9.4,193023,0.4
22,S.B.ABBES,208167,53.9,133484,34.5,0,0.0,4225,1.1,17317,4.5,363193,94.0,3715,1.0,19644,5.1,386552,0.9
23,ANNABA,31304,54.1,11345,19.6,2223,3.8,89,0.2,2490,4.3,47449,82.1,7585,13.1,2786,4.8,57820,0.1
24,GUELMA,113673,43.0,60227,22.8,306,0.1,48,0.0,13084,4.9,187338,70.8,50875,19.2,26405,10.0,264618,0.6
25,CONSTANTINE,103811,59.0,19106,10.9,0,0.0,16,0.0,2077,1.2,125009,71.1,50935,28.9,0,0.0,175944,0.4
26,MEDEA,159984,21.5,148972,20.0,7282,1.0,4371,0.6,25598,3.4,346207,46.6,292084,39.3,104754,14.1,743045,1.7
27,MOSTAGANEM,98727,68.2,1535,1.1,0,0.0,10796,7.5,21211,14.7,132268,91.4,5110,3.5,7400,5.1,144778,0.3
28,M'SILA,83700,6.4,174342,13.3,0,0.0,0,0.0,19550,1.5,277592,21.2,1029564,78.8,0,0.0,1307156,3.0
29,MASCARA,203058,46.8,81056,18.7,0,0.0,4746,1.1,23927,5.5,312787,72.0,104292,24.0,17054,3.9,434133,1.0
30,OUARGLA,5120,0.1,22689,0.4,0,0.0,13,0.0,23145,0.4,50967,0.9,4750000,83.5,887417,15.6,5688384,12.9
31,ORAN,65985,69.4,9632,10.1,0,0.0,646,0.7,10495,11.0,86757,91.3,1823,1.9,6479,6.8,95059,0.2
32,EL-BAYADH,12147,0.2,61857,1.1,0,0.0,12,0.0,2956,0.1,76971,1.3,5688225,98.7,550,0.0,5765746,13.1
33,ILLIZI,497,3.4,229,1.6,0,0.0,27,0.2,1651,11.2,2404,16.3,0,0.0,12326,83.7,14730,0.0
34,B.B.ARRERIDJ,83446,34.0,72349,29.4,150,0.1,4,0.0,30652,12.5,186600,75.9,48598,19.8,10556,4.3,245754,0.6
35,BOUMERDES,29475,30.2,6208,6.4,0,0.0,13869,14.2,13265,13.6,62816,64.3,12581,12.9,22254,22.8,97651,0.2
36,EL-TARF,40075,47.7,18908,22.5,5000,6.0,868,1.0,9322,11.1,74173,88.3,8518,10.1,1340,1.6,84031,0.2
37,TINDOUF,189,0.0,52,0.0,0,0.0,5,0.0,626,0.0,872,0.0,6000000,100.0,1628,0.0,6002500,13.6
38,TISSEMSILT,86310,45.5,39591,20.9,0,0.0,247,0.1,19309,10.2,145456,76.7,22297,11.8,21996,11.6,189749,0.4
39,EL-OUED,54367,3.1,7200,0.4,0,0.0,140,0.0,41293,2.3,103000,5.8,1412394,79.8,253506,14.3,1768900,4.0
40,KHENCHELA,131684,17.0,111244,14.4,50,0.0,38,0.0,13705,1.8,256721,33.1,440135,56.8,77736,10.0,774592,1.8
41,SOUK-AHRAS,165376,53.1,73083,23.5,4258,1.4,0,0.0,10889,3.5,253606,81.4,30977,9.9,26909,8.6,311492,0.7
42,TIPAZA,39663,56.7,4756,6.8,0,0.0,2685,3.8,14736,21.1,61840,88.3,8157,11.7,0,0.0,69997,0.2
43,MILA,131545,47.7,93156,33.8,802,0.3,16,0.0,12039,4.4,237558,86.1,21956,8.0,16444,6.0,275958,0.6
44,AIN-DEFLA,128900,54.7,34731,14.7,577,0.2,500,0.2,16970,7.2,181677,77.1,38352,16.3,15583,6.6,235612,0.5
45,NAAMA,6852,0.3,17461,0.8,0,0.0,63,0.0,3906,0.2,28283,1.3,2175117,98.7,60,0.0,2203460,5.0
46,A.TEMOUCHENT,144172,70.9,13008,6.4,300,0.1,12671,6.2,11205,5.5,181357,89.1,7974,3.9,14107,6.9,203438,0.5
47,GHARDAIA,11265,0.8,34552,2.5,0,0.0,164,0.0,12527,0.9,58507,4.3,1312231,95.7,172,0.0,1370910,3.1
48,RELIZANE,198988,67.3,67308,22.8,0,0.0,972,0.3,14608,4.9,281875,95.4,5699,1.9,7899,2.7,295473,0.7
TOTAL,ALGERIE,4504101,10.2,3042481,6.9,49978,0.1,68786,0.2,903240,2.1,8568586,19.5,32788830,74.5,2646666,6.0,44004083,100.0
