Wilaya_Code,Wilaya_Name,Ble_Dur_Sup_Emblavee_ha,Ble_Dur_Sup_Recoltee_ha,Ble_Dur_Taux_Recolte_%,Ble_Dur_Prod_qx,Ble_Dur_Rdt_qx_ha,Ble_Tendre_Sup_Emblavee_ha,Ble_Tendre_Sup_Recoltee_ha,Ble_Tendre_Taux_Recolte_%,Ble_Tendre_Prod_qx,Ble_Tendre_Rdt_qx_ha,Orge_Sup_Emblavee_ha,Orge_Sup_Recoltee_ha,Orge_Taux_Recolte_%,Orge_Prod_qx,Orge_Rdt_qx_ha,Avoine_Sup_Emblavee_ha,Avoine_Sup_Recoltee_ha,Avoine_Taux_Recolte_%,Avoine_Prod_qx,Avoine_Rdt_qx_ha,Triticale_Sup_Emblavee_ha,Triticale_Sup_Recoltee_ha,Triticale_Taux_Recolte_%,Triticale_Prod_qx,Triticale_Rdt_qx_ha,Total_Cereales_Hiver_Sup_Emblavee_ha,Total_Cereales_Hiver_Sup_Recoltee_ha,Total_Cereales_Hiver_Taux_Recolte_%,Total_Cereales_Hiver_Prod_qx,Total_Cereales_Hiver_Rdt_qx_ha
27,MOSTAGANEM,5173,4754,91.9,58332,12.3,14013,9503,67.8,142545,15.0,26942,18616,69.1,279240,15.0,1797,1296,72.1,10368,8.0,0,0,0.0,0,0.0,47925,34169,71.3,490485,14.4
28,M'SILA,17500,5500,31.4,115000,20.9,2900,800,27.6,17200,21.5,54600,9100,16.7,190000,20.9,500,180,36.0,3000,16.7,0,0,0.0,0,0.0,75500,15580,20.6,325200,20.9
29,MASCARA,25600,13866,54.2,150000,10.8,47400,32244,68.0,326950,10.1,62100,40698,65.5,398950,9.8,4900,3185,65.0,31000,9.7,0,0,0.0,0,0.0,140000,89993,64.3,906900,10.1
30,OUARGLA,755,687,91.0,24780,36.1,30,30,100.0,1078,35.9,265,183,69.1,2992,16.3,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1050,900,85.7,28850,32.1
31,ORAN,8896,1657,18.6,9594,5.8,6691,885,13.2,3625,4.1,37715,10510,27.9,75680,7.2,1298,438,33.7,2383,5.4,0,0,0.0,0,0.0,54600,13490,24.7,91282,6.8
32,EL-BAYADH,2421,338,14.0,11344,33.6,942,60,6.4,1300,21.7,5127,361,7.0,6527,18.1,257,83,32.3,1646,19.8,0,0,0.0,0,0.0,8747,842,9.6,20817,24.7
33,ILLIZI,4,4,100.0,107,30.6,25,25,100.0,713,28.1,14,13,92.9,387,29.8,3,3,100.0,79,26.3,0,0,0.0,0,0.0,46,45,97.8,1285,28.6
34,B.B.ARRERIDJ,63655,62891,98.8,671235,10.7,6100,6088,99.8,96082,15.8,16975,16967,100.0,195970,11.6,970,970,100.0,14800,15.3,0,0,0.0,0,0.0,87700,86916,99.1,978087,11.3
35,BOUMERDES,4552,4234,93.0,107738,25.4,812,812,100.0,22520,27.7,360,287,79.7,4592,16.0,280,200,71.4,3200,16.0,0,0,0.0,0,0.0,6004,5533,92.1,138050,25.0
36,EL-TARF,16600,16600,100.0,431600,26.0,980,830,84.7,23240,28.0,2720,2720,100.0,43520,16.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,20300,20150,99.3,498360,24.7
37,TINDOUF,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
38,TISSEMSILT,51675,24511,47.4,221148,9.0,5907,2641,44.7,20392,7.7,16186,7380,45.6,55283,7.5,1384,792,57.2,6581,8.3,0,0,0.0,0,0.0,75152,35323,47.0,303404,8.6
39,EL-OUED,10000,10000,100.0,500000,50.0,0,0,0.0,0,0.0,2000,1200,60.0,28800,24.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,12000,11200,93.3,528800,47.2
40,KHENCHELA,53450,35385,66.2,663870,18.8,5950,2755,46.3,35900,13.0,41450,20860,50.3,185230,8.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,100850,59000,58.5,885000,15.0
41,SOUK-AHRAS,76600,75741,98.9,1207706,15.9,25575,25250,98.7,418140,16.6,30000,29108,97.0,482417,16.6,500,497,99.4,6793,13.7,0,0,0.0,0,0.0,132675,130596,98.4,2115056,16.2
42,TIPAZA,12442,12010,96.5,305798,25.5,3176,3131,98.6,93009,29.7,1784,1734,97.2,34310,19.8,158,128,81.0,2094,16.4,0,0,0.0,0,0.0,17560,17003,96.8,435211,25.6
43,MILA,62900,59205,94.1,1548510,26.2,21183,20174,95.2,540639,26.8,20664,20490,99.2,529554,25.8,3795,3795,100.0,69385,18.3,0,0,0.0,0,0.0,108542,103664,95.5,2688088,25.9
44,AIN-DEFLA,50230,45208,90.0,1026300,22.7,2203,2122,96.3,47220,22.3,16415,14886,90.7,214000,14.4,1663,1525,91.7,22000,14.4,0,0,0.0,0,0.0,70649,63741,90.2,1309520,20.5
45,NAAMA,116,98,84.5,1608,16.4,13,6,46.2,98,16.3,1370,489,35.7,7325,15.0,175,50,28.6,920,18.4,0,0,0.0,0,0.0,1674,643,38.4,9951,15.5
46,A.TEMOUCHENT,47708,16198,34.0,174100,10.7,16351,4278,26.2,30500,7.1,45050,16184,35.9,141840,8.8,2580,498,19.3,3560,7.1,0,0,0.0,0,0.0,111689,37158,33.3,350000,9.4
47,GHARDAIA,2899,2899,100.0,130927,45.2,0,0,0.0,0,0.0,235,235,100.0,1885,8.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3134,3134,100.0,132812,42.4
48,RELIZANE,68596,15388,22.4,123463,8.0,31575,7091,22.5,38924,5.5,34194,9044,26.4,60182,6.7,6966,1546,22.2,8326,5.4,0,0,0.0,0,0.0,141331,33069,23.4,230895,7.0
TOTAL,ALGERIE,1533247,1094636,71.4,19376173,17.7,528932,351423,66.4,5024791,14.3,1236204,706678,57.2,9199064,13.0,76597,56761,74.1,721209,12.7,128,128,100.0,1505,11.8,3375108,2209625,65.5,34322742,15.5
